"deviation_id","date_utc","level","phase","affected_bp_ids","affected_msg_ids","affected_actions","original_contract","proposed_difference","reason","financial_or_lifecycle_effect","performance_effect","safety_effect","equivalence_evidence","user_approval_reference","reviewer","status","resolution"
"DEV-0001","","D0","","","","","","","","NONE","NONE","NONE","","","Codex final self-review; canonical contract retained","CLOSED_NO_DEVIATION","Blank sentinel closed; no contract deviation."
"DEV-0020","2026-08-29","D0","STAGED_MAIN_DOM","BP-016 BP-025 BP-027 BP-033 BP-038 BP-077","","","Atomic main and child presentation","Prepare main nodes before one synchronous commit","Prevent partial presentation during adoption","NONE","Bounded100 rows and retained nodes","Reject older or repeated or closed staged commits","EVIDENCE-0071","Full implementation authority","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","Seven browser checks and448 frontend regressions pass; no activation Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0022","2026-08-29","D1","COMPLETE_GROUP_SCOPE","BP-052 BP-057 BP-067","","","Existing Timesheet and overpayment groups use legacy display identity","Project the identical group identity before bounded child paging","A loaded100-row child page cannot prove a complete group","NONE to payment calculation selection or Draft","One set-wise candidate-scoped read; no browser regrouping","Prevents partial group checkbox from pretending to be complete","EVIDENCE-0073","Full implementation authority subject to parity","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","Exact frozen helpers and107-member page-boundary scope pass; mutation and display remain open Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0021","2026-08-29","D1","DRAFT_DISPLAY_SCOPE_PARITY","BP-007 BP-025 BP-027 BP-033 BP-038 BP-077 BP-130 BP-131 BP-136","","","Original screen uses counter readiness and continuous-scope draft_safe","Compose both existing read-only owners into compact v2 gate","The initial unpublished adapter omitted the second existing display gate","NONE to final Draft or financial authority","One additional existing scope read within existing response budget","No early enable and preserve unfiltered legacy counts","EVIDENCE-0072","Full implementation authority subject to parity","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","539 backend448 frontend pass without skips; actual both-owner negatives and original Draft tests pass; local timing measured; real application adoption remains open Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0018","2026-08-29","D0","SELECTION_RESPONSE_REUSE","BP-025 BP-027 BP-033 BP-038 BP-077","","","One proved candidate response assembly","Extract unchanged assembly into one ungranted private formatter","Reuse without duplicating response policy","NONE","NONE","Complete assembly SHA256 unchanged","EVIDENCE-0068","Full implementation authority","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","28 focused actual selection and Draft checks pass; no activation Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0019","2026-08-29","D1","EXACT_ROW_RESPONSE_ADAPTER","BP-025 BP-027 BP-033 BP-038 BP-052 BP-057 BP-067 BP-077","","","Original exact-row selection and recovery behavior","Bounded wrapper over one unchanged ROW_PATCH request with before-view evidence and current child response","Preserve fast single settlement without a new financial owner","NONE to original selection audit notification or Draft","One mutation and summary read only when content proof requires it","Confirmed limits roll back and uncertain result reads back","EVIDENCE-0069","Full implementation authority subject to equivalence","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","Original versus wrapped data and counter equivalence with exact recovery clock validation; whole-group page integration remains open Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0017","2026-08-28","D1","ELIGIBLE_SET_EVALUATION","BP-016 BP-038 BP-130 BP-131","","","Complete certified eligibility predicate and output unchanged","Materialize the final eligible set before joining back to physical row payloads","Repeated exact fixture shows1247802 section-check calls and timeout despite the earlier planning wrapper","NONE to predicate or economics or Draft","Prevent repeated eligibility evaluation under different join plans","Exact predicate parity plus real section-movement and forced-join-plan tests required","EVIDENCE-0063","Full implementation authority subject to equivalence","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","No timeout increase and no production planner setting change Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0016","2026-08-28","D1","PAYLOAD_SINGLE_EVALUATION","BP-016 BP-038 BP-130 BP-131","","","Every certified normalization expression and output remains unchanged","Prevent optimizer duplication of one single-row base JSON expression with an internal OFFSET0 evaluation barrier","Function profiling attributes most repeated-read time to duplicated payload expression work","NONE to eligibility or economics or Draft","Rollback experiment reduces six local summaries from1.20-1.44s to0.50-0.56s; hosted SLA not claimed","Exact old expression parity and real first-use output equality required","EVIDENCE-0062","Full implementation authority subject to equivalence","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","Barrier is not list pagination and changes no timeout or database setting Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0015","2026-08-28","D1","CANDIDATE_RETENTION_PREIMAGE","BP-016 BP-017 BP-018 BP-025 BP-026 BP-027 BP-028 BP-033 BP-034 BP-035 BP-038 BP-130 BP-131 BP-132","","","Retain only genuinely unchanged main candidate rows after one mutation","Server-owned full-view preimage and other-candidate facts digests","Revision tokens alone cannot prove unchanged content or complete selected Timesheet membership","NONE to economics or Draft input","Small digest metadata with one existing mutation request","Reject mismatched preimage before write and forbid unproved retention","","Full implementation authority subject to executable equivalence","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","Private helper tests precede public contract and controller changes Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0014","2026-08-28","D1","BOUNDED_MOVEMENT_SETTLEMENT","BP-025 BP-026 BP-027 BP-028 BP-033 BP-038 BP-040 BP-041 BP-042 BP-077 BP-130 BP-131 BP-132","","","Every section movement reconciles without a stale alias or missing payment","Complete server receipt plus explicitly bounded movement response and mandatory full prior-cache invalidation when large","Unbounded movement arrays cannot satisfy the accepted32KB base response and all-page selection contract","NONE intended to selection or finance or Draft","Same mutation request and approved open-child bounds with no extra background read","No truncated array may claim completeness and no stale cached section can publish","","Full implementation authority subject to executable equivalence","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","No public or app integration until complete replacement equivalence is proved Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0012","2026-08-28","D2","BLOCKED_COUNT_WORDING","BP-116 BP-117 BP-121","","","Blocked count labelled payments","Label the mixed source-only and payment issue count items while retaining Blocked for Pay","Source failures may precede any generated payment","NONE","NONE","No hidden issue or invented payment","","User asked asynchronously on2026-08-28","Codex final self-review; canonical contract retained","CLOSED_RETAINED_DESIGN","No misleading mixed noun was introduced. The surface remains Blocked for Pay with a compact count; rows retain their exact payment or source issue meaning."
"DEV-0013","2026-08-28","D1","MAIN_PAGE_NAVIGATION","BP-016 BP-025 BP-026 BP-027 BP-038 BP-130 BP-131","","","Preserve full-set paging after selection without an extra automatic summary read","Server-issued directed read-only page anchors with exact current request authority","Ordinary cursors must remain revision-strict","NONE to finance or selection or Draft","Same explicit navigation request and existing page bounds","No client token rewrite or stale financial adoption","EVIDENCE-0059","Full implementation authority","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","105 candidates six sorts and actual CLEAR navigation pass both boundaries;151 backend372 frontend checks; unrelated-row retention and representative performance remain open Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
"DEV-0011","2026-08-28","D1","UPDATING_PAGINATION","BP-096 BP-097 BP-098 BP-099 BP-100 BP-102 BP-130","","","Separate complete Updating visibility within Action Required","Whitelisted read-only view and bounded inline first Updating page plus continuation","An unbounded Updating array can exceed the existing response limit","NONE to selection or financial and Draft owners","One list request and explicit user paging within existing256KB bound","View-bound cursors and exact counts prevent hidden or mixed tasks","EVIDENCE-0056","Full implementation authority","Codex final self-review; canonical contract retained","CLOSED_VERIFIED","105 Updating owners and exact continuation pass both boundaries and controller; synthetic browser Back and detail work; no main control or search; full integration/performance remains required Final source, executable contract, deployment and applicable real TEST evidence: EVIDENCE-0090 through EVIDENCE-0098."
