"message_id","current_exact_wording","approved_exact_wording","reason_and_preserved_behaviour","status","current_trigger_evidence","future_location","mapping_code_or_fact","test_ids","layout_evidence_ids","negative_test_ids","evidence_ids","deviation_id","reviewer","notes"
"MSG-001","Cases / Resolutions","Action Required","This view will include every current human-action payment issue, not only finance resolutions. No case action is removed.","NOT_STARTED","","","","","","","","","",""
"MSG-002","No Case Resolutions match the current Banking Pay filters.","No payments requiring action match the current Banking Pay filters.","Matches the wider Action Required meaning and keeps current filter behaviour.","NOT_STARTED","","","","","","","","","",""
"MSG-003","No cases need resolution.","No payments currently need action.","Plain zero state for the wider task list.","NOT_STARTED","","","","","","","","","",""
"MSG-004","Payment route, candidate and client filters intersect across Ready to Pay, Blocked for Pay and Case Resolutions. Hidden selections are preserved, but hidden rows are never drafted.","Payment route, candidate and client filters apply to Ready to pay, Action Required and Blocked for Pay. Selections outside the current filters remain saved, but those payments cannot be included in this Draft.","Removes intersect and updates the renamed view without weakening the Draft safety rule.","NOT_STARTED","","","","","","","","","",""
"MSG-005","Choose Ready to Pay rows, then create a draft.","Choose the candidates to include, then create a Draft.","The main user action is now candidate selection. Payment-level selection remains in Candidate Banking.","NOT_STARTED","","","","","","","","","",""
"MSG-006","Amount","Ready to pay","The column shows the current selected payment display amount. It does not claim to be PAYE net or final bank-out.","NOT_STARTED","","","","","","","","","",""
"MSG-007","Amount {amount}","Ready to pay £{amount}","Makes the headline meaning explicit. The value must come from the full-session selected amount, not the current visible-page Amount.","NOT_STARTED","","","","","","","","","",""
"MSG-008","{number} selected","{number} candidates included","The main count is candidate-based. The underlying payment selection is unchanged.","NOT_STARTED","","","","","","","","","",""
"MSG-009","{selected}/{available} on this page","{selected} of {available} candidates on this page included","Removes ambiguity about whether the numbers are candidates or payment lines.","NOT_STARTED","","","","","","","","","",""
"MSG-010","Tick all Ready to Pay lines","Include all eligible payments for every candidate","Used as the global checkbox label/tooltip. It still invokes the current server-owned all-page Ready selection.","NOT_STARTED","","","","","","","","","",""
"MSG-011","Untick all Ready to Pay lines","Remove all eligible payments for every candidate","Used as the global clear label/tooltip. Remove means remove from this pay run, not delete payment records.","NOT_STARTED","","","","","","","","","",""
"MSG-012","No payable rows found.","No candidates currently have payments ready to include.","Candidate-based, plain empty state.","NOT_STARTED","","","","","","","","","",""
"MSG-013","No line-level items are currently ready to pay.","No candidates currently have payments ready to include.","Removes line-level technical language.","NOT_STARTED","","","","","","","","","",""
"MSG-014","No Ready to Pay rows match the current Banking Pay filters.","No candidates with payments ready to include match the current Banking Pay filters.","Correct full-result filtered empty state.","NOT_STARTED","","","","","","","","","",""
"MSG-015","No rows are blocked for pay.","No payments are currently blocked.","Uses the object the user understands: payments, not rows.","NOT_STARTED","","","","","","","","","",""
"MSG-016","No Blocked for Pay rows match the current Banking Pay filters.","No blocked payments match the current Banking Pay filters.","Keeps the same filters and removes table-language jargon.","NOT_STARTED","","","","","","","","","",""
"MSG-017","New candidate-level field; no current candidate Deductions label","Deductions","Exact new column name. Its value is Yes or a neutral dash only.","NOT_STARTED","","","","","","","","","",""
"MSG-018","New candidate-level value; no current equivalent","Yes","Show only when at least one currently selected Ready payment is canonically a deduction.","NOT_STARTED","","","","","","","","","",""
"MSG-019","New candidate-level value; no current equivalent","—","Show when no currently selected Ready payment is canonically a deduction. Do not show No, because the candidate may have an unselected or blocked deduction elsewhere.","NOT_STARTED","","","","","","","","","",""
"MSG-020","No current no-Timesheet tooltip","No Ready Timesheet is linked to this candidate's selected payments.","Used only if the design keeps a neutral disabled Timesheets icon. Never open a broad candidate Timesheets search.","NOT_STARTED","","","","","","","","","",""
"MSG-030","Insufficient funds","Insufficient funds to deduct","The current label is incomplete. The new label tells the user what cannot happen. The underlying NO_PAY_HEADROOM reason remains unchanged.","NOT_STARTED","","","","","","","","","",""
"MSG-031","No credit balance to deduct","Insufficient funds to deduct","Credit balance is accounting language and does not explain the practical effect.","NOT_STARTED","","","","","","","","","",""
"MSG-032","No available funds to recover this yet.","There is not enough pay available in this run to make this deduction.","Removes yet and states exactly why the deduction is not happening in this pay run.","NOT_STARTED","","","","","","","","","",""
"MSG-033","No unreserved payable earnings are available for this recovery.","There is not enough pay available in this run to make this deduction.","Removes unreserved payable earnings, which is accurate internally but not user-friendly. The scheduled amount and amount deductible now remain separately displayed.","NOT_STARTED","","","","","","","","","",""
"MSG-034","Scheduled recovery due","Deduction scheduled for this pay run","Keeps the scheduled figure distinct from what can actually be deducted now.","NOT_STARTED","","","","","","","","","",""
"MSG-035","Recoverable this pay run: {amount}","Can be deducted now: £{amount}","Plain wording; the server still owns the amount.","NOT_STARTED","","","","","","","","","",""
"MSG-036","No recovery can be made because there are no available funds to deduct from this pay run.","This deduction cannot be made because there is not enough pay available in this run.","Shorter and specific. No change to the outstanding amount or blocked state.","NOT_STARTED","","","","","","","","","",""
"MSG-037","{recoverable} will be recovered from the total outstanding amount of {outstanding}.","£{recoverable} will be deducted in this pay run. £{outstanding} is still outstanding before this deduction.","Separates the amount taken now from the outstanding balance and avoids a long accounting sentence. Values remain server supplied.","NOT_STARTED","","","","","","","","","",""
"MSG-038","No recovery can be made this pay run from the total outstanding amount of {outstanding}.","Nothing can be deducted in this pay run. £{outstanding} remains outstanding.","Direct, specific zero-deduction explanation.","NOT_STARTED","","","","","","","","","",""
"MSG-040","PAYE > UMBR","Payment was originally PAYE. Candidate is now paid through an umbrella company.","Removes an abbreviation and arrow that require interpretation. This text must be derived from the current source and target methods.","NOT_STARTED","","","","","","","","","",""
"MSG-041","This amount is currently determined as PAYE and needs resolution to convert it to Umbrella.","Payment was originally PAYE. Candidate is now paid through an umbrella company. Choose how this payment should be handled.","States what changed and what the user must do. The existing taxable restructure action and calculation remain unchanged.","NOT_STARTED","","","","","","","","","",""
"MSG-042","UMBR > PAYE","Payment was originally through an umbrella company. Candidate is now PAYE.","Clear reverse direction with no abbreviation.","NOT_STARTED","","","","","","","","","",""
