evidence_id,date_utc,phase,evidence_category,requirement_ids,message_ids,action_names,fixture_ids,source_commit_or_db_hash,deployed_version,target,command_or_method,artifact_path_or_reference,result,reviewer,notes
EVIDENCE-0001,2026-08-28,SERVER_FOUNDATIONS,SOURCE_PARITY,,,,,49a79fc8c0ea538e68c44363e507de6f1badec1a,,isolated_worktrees,node_test,backend/tests/banking-pay-modal-v2-projection.test.cjs,PASS,Codex,Four exact extraction guards; not full feature completion
EVIDENCE-0002,2026-08-28,SERVER_FOUNDATIONS,LOCAL_PG17_FIRST_USE,,,,CB-001 CB-003 SEL-002 SEL-004 SEL-007,,,disposable_local_55441,rollback_SQL,backend/tests/28082026_1254_banking_pay_modal_ready_page_runtime.sql,PASS,Codex,Ready-before-pagination and legacy payload parity; candidate facts only; no mutation-owner claim
EVIDENCE-0003,2026-08-28,DISPLAY_CHARACTERIZATION,SOURCE_AND_LOCAL_PG17,,,,AMT-001_to_AMT-019,,,disposable_local_55441,node_test_with_explicit_local_PG17,backend/tests/banking-pay-modal-v2-postgres-parity.test.cjs,PASS,Codex,Display parity and over 2000 filter cases; upstream lifecycle and deployed parity still open
EVIDENCE-0004,2026-08-28,SERVER_FOUNDATIONS,LOCAL_PERFORMANCE,,,,,,,disposable_local_55441,synthetic_rollback_benchmark,backend/scripts/benchmark-banking-pay-modal-local.mjs,FAIL_UNDER_CORRECTION,Codex,Approximately 3.2 seconds for 110 rows; do not treat as accepted performance
EVIDENCE-0005,2026-08-28,SERVER_FOUNDATIONS,LOCAL_PERFORMANCE,,,,,,,disposable_local_55441,synthetic_rollback_benchmark,backend/scripts/benchmark-banking-pay-modal-local.mjs,PASS_SMALL_FIXTURE_ONLY,Codex,Two materialisation fences reduce candidate projection to 197-211ms; resolves EVIDENCE-0004 bottleneck only; representative and browser gates open
EVIDENCE-0006,2026-08-28,CANDIDATE_PAGING,LOCAL_PG17_FIRST_USE,,,,,,,disposable_local_55441,rollback_SQL,backend/tests/28082026_1322_banking_pay_modal_candidate_paging.sql,PASS,Codex,105 candidates; all three sorts both directions; full-scope headline unchanged across pages; cursor isolation
EVIDENCE-0007,2026-08-28,BANK_ACTION_GUARDS,SOURCE_AND_LOCAL_PG17,,,acceptBankDetails runBankNameCheck ensurePayeeMap,,,,disposable_local_55441,node_test_with_explicit_local_PG17,backend/tests/banking-pay-modal-v2-bank-actions.test.cjs,PASS_GUARDS_ONLY,Codex,1537 action combinations and exact metadata precedence; task classification and UI/action execution remain open
EVIDENCE-0008,2026-08-28,VISIBILITY_AND_SCOPE,LOCAL_PG17_FIRST_USE,BP-003 BP-020 BP-036 BP-050 BP-123,,,,,,disposable_local_55441,rollback_SQL,backend/tests/28082026_1254_banking_pay_modal_ready_page_runtime.sql,PASS_READER_ONLY,Codex,Hidden candidates and marker forms excluded before totals and paging; physical candidate ID included in filter proof
EVIDENCE-0009,2026-08-28,CASE_ACTION_GUARDS,SOURCE_AND_LOCAL_PG17,BP-080 BP-081 BP-082 BP-087 BP-089,,openBucketedResolution openNonBucketResolution openTaxableFinanceCaseRestructure toggleExcludeTimesheet,,,,disposable_local_55441,node_test_with_explicit_local_PG17,backend/tests/banking-pay-modal-v2-case-actions.test.cjs,PASS_GUARDS_ONLY,Codex,865 fixtures; current controls and nested display precedence; no real resolution executed
EVIDENCE-0010,2026-08-28,TABLE_COMPONENT,UNIT_AND_SOURCE,BP-020 BP-021 BP-023 BP-024 BP-025 BP-026 BP-029 BP-030 BP-031 BP-032 BP-034 BP-035 BP-037,,,,,,isolated_frontend_worktree,node_test,frontend/tests/unit/banking-pay-modal-v2-table.test.cjs,PASS_COMPONENT_ONLY,Codex,20 unit checks; no actual orchestrator or legacy integration yet
EVIDENCE-0011,2026-08-28,TABLE_COMPONENT,SYNTHETIC_BROWSER,BP-016 BP-021 BP-024 BP-026 BP-029 BP-031 BP-034 BP-035 BP-037,,,,,,loopback_18742,in_app_Playwright,22_TABLE_COMPONENT_BROWSER_EVIDENCE.md,PASS_COMPONENT_ONLY,Codex,Ten browser groups; no hosted application or full modal performance claim
EVIDENCE-0012,2026-08-28,SETTLEMENT_COMPONENT,UNIT,BP-007 BP-015 BP-016 BP-033 BP-051 BP-053 BP-077,,,,,,isolated_frontend_worktree,node_test,frontend/tests/unit/banking-pay-modal-v2-settlement.test.cjs,PASS_COMPONENT_ONLY,Codex,20 tests; existing-action adapters and full response revision binding still required
EVIDENCE-0013,2026-08-28,CANDIDATE_SELECTION,SOURCE_AND_LOCAL_PG17,BP-027 BP-028 BP-132,,,,,,disposable_local_55441,node_test_and_rollback_SQL,backend/tests/28082026_1429_banking_pay_recovery_channel_scope.sql,PASS_COMPONENT_ONLY,Codex,Seven source checks plus whole-row channel isolation and original ALL equivalence; no hosted release
EVIDENCE-0014,2026-08-28,CANDIDATE_SELECTION,LOCAL_PG17_FIRST_USE,BP-007 BP-026 BP-027 BP-028 BP-033 BP-053 BP-070 BP-077 BP-132,,,,,,disposable_local_55441,rollback_SQL,backend/tests/28082026_1432_banking_pay_candidate_selection_runtime.sql,PASS_INTERNAL_CORE_ONLY,Codex,105 positive rows and recovery; one audit/revision; duplicate/no-op/stale/conflict/rollback and original individual branch; public envelope still absent
EVIDENCE-0015,2026-08-28,CANDIDATE_SELECTION,LOCAL_PG17_NEGATIVES,BP-027 BP-028 BP-123,,,,,,disposable_local_55441,rollback_SQL,backend/tests/28082026_1437_banking_pay_candidate_selection_negatives.sql,PASS_INTERNAL_CORE_ONLY,Codex,Eleven typed invalid/stale inputs plus inactive actor and canonical hidden row; old global branch retained; no malformed hidden-state economics claim
EVIDENCE-0016,2026-08-28,COMPONENT_ACTION_GUARDS,SOURCE_AND_LOCAL_PG17,BP-080 BP-081 BP-082 BP-087 BP-089,,componentUseSuggested componentManualRate componentManualAmount componentClearResolution,,,,disposable_local_55441,node_test_with_explicit_local_PG17,backend/tests/banking-pay-modal-v2-component-actions.test.cjs,PASS_GUARDS_ONLY,Codex,Four tests with 1380 guard cases; exact existing component flags; full task classification and execution still open
